feature,context_id,context_change,context_changed_level_v51_marginal_exposure_share,quantile,value,glm_frequency_relativity,xgb_frequency_relativity,log_xgb_over_glm_relativity
driver_age,BASE,{},1.0,0.05,30.0,0.8796810286266358,1.0130138438545593,0.14112579605403006
driver_age,BASE,{},1.0,0.1,32.0,0.8930488167849453,1.0148880593207819,0.127892353575496
driver_age,BASE,{},1.0,0.2,36.0,0.9203968978457889,0.999435408227316,0.08238554005331328
driver_age,BASE,{},1.0,0.3,39.0,0.9414561707365412,0.9989778785409982,0.0593048403771465
driver_age,BASE,{},1.0,0.4,43.0,0.9702866435938099,1.0,0.03016374227925389
driver_age,BASE,{},1.0,0.5,47.0,1.0,1.0,0.0
driver_age,BASE,{},1.0,0.6,51.0,1.030623276742361,1.0,-0.030163742279253627
driver_age,BASE,{},1.0,0.7,55.0,1.0621843385631615,0.9980292050276691,-0.06230022410257131
driver_age,BASE,{},1.0,0.8,59.0,1.0947119035143833,0.8994698889279773,-0.1964409283337278
driver_age,BASE,{},1.0,0.9,64.0,1.1367756805682248,0.8946749470664639,-0.23949071899794838
driver_age,BASE,{},1.0,0.95,68.0,1.1715874768282517,0.8955651976658229,-0.26865990121735667
driver_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.05,30.0,0.8796810286266358,1.0130138888453326,0.14112584046682142
driver_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.1,32.0,0.8930488167849454,1.01488812857226,0.1278924218110763
driver_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.2,36.0,0.920396897845789,0.9994354422537429,0.08238557409896144
driver_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.3,39.0,0.9414561707365411,0.9989779281685464,0.05930489005547088
driver_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.4,43.0,0.97028664359381,1.0,0.030163742279253676
driver_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.5,47.0,1.0,1.0,0.0
driver_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.6,51.0,1.030623276742361,1.0,-0.030163742279253627
driver_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.7,55.0,1.0621843385631617,0.9980293094743048,-0.06230011944969192
driver_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.8,59.0,1.0947119035143833,0.8994699735910187,-0.19644083420824518
driver_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.9,64.0,1.1367756805682248,0.8946750308464847,-0.23949062535498097
driver_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.95,68.0,1.1715874768282513,0.8955652494183508,-0.2686598434297975
driver_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.05,30.0,0.8796810286266357,1.0118081092740054,0.13993484223094899
driver_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.1,32.0,0.8930488167849455,1.0136801125836246,0.1267014181199766
driver_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.2,36.0,0.920396897845789,0.9994354907146797,0.08238562258727153
driver_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.3,39.0,0.9414561707365411,0.9989779429444295,0.059304904846471246
driver_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.4,43.0,0.9702866435938099,1.0,0.03016374227925389
driver_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.5,47.0,1.0,1.0,0.0
driver_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.6,51.0,1.030623276742361,1.0,-0.030163742279253627
driver_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.7,55.0,1.0621843385631615,0.9980292561843204,-0.06230017284490297
driver_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.8,59.0,1.094711903514383,0.9602876645969761,-0.13101361562244718
driver_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.9,64.0,1.1367756805682248,0.9705620695020013,-0.15807582689480948
driver_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.95,68.0,1.1715874768282513,0.971527817065754,-0.18724502443127294
driver_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.05,30.0,0.8796810286266359,1.027905149262448,0.15571880020848894
driver_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.1,32.0,0.8930488167849454,1.0298069304453636,0.1424853720489674
driver_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.2,36.0,0.9203968978457892,1.0141271133858578,0.09697854694893156
driver_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.3,39.0,0.9414561707365412,1.0106999640318202,0.07097060906959203
driver_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.4,43.0,0.97028664359381,1.0117340001101276,0.04182943285355086
driver_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.5,47.0,1.0,1.0,0.0
driver_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.6,51.0,1.030623276742361,1.0,-0.030163742279253627
driver_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.7,55.0,1.0621843385631615,0.9980292516584127,-0.06230017737974767
driver_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.8,59.0,1.0947119035143835,0.8994699190468519,-0.19644089484858915
driver_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.9,64.0,1.1367756805682252,0.8905689924125914,-0.24409060790151804
driver_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.95,68.0,1.1715874768282517,0.8867911945433938,-0.278505377728304
driver_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.05,30.0,0.8796810286266358,1.0129075121435065,0.14102082484097123
