feature,development_level_count_including_missing,current_level_count_including_missing,current_unseen_nonmissing_level_count,current_unseen_nonmissing_exposure_share,current_missing_exposure_share,total_variation_distance_2022_vs_2024,max_absolute_level_share_change,max_shift_level,max_shift_development_share,max_shift_current_share,max_shift_signed_share_change,v51_max_absolute_log_relativity_gap
policy_type,5,5,0,0.0,0.0,0.03876925533838996,0.03405526032611031,COMP_E,0.2375225200108693,0.2715777803369796,0.03405526032611031,0.14857731979556676
business_type,2,2,0,0.0,0.0,0.48595824222641637,0.48595824222641637,NB,0.9677561751126499,0.4817979328862335,-0.48595824222641637,0.02571338968862851
payment_frequency,3,3,0,0.0,0.0,0.05289375310503652,0.05289375310503652,A,0.7789825128818613,0.8318762659868978,0.05289375310503652,0.009107527965752886
bonus_score,3,3,0,0.0,0.0,0.018940591545199614,0.01894059154519956,G,0.9553620553611338,0.9743026469063334,0.01894059154519956,0.10885825583897207
fuel_type,3,3,0,0.0,0.004260614516157681,0.004090356075296934,0.0040903560752969526,G,0.35977559509012286,0.3556852390148259,-0.0040903560752969526,0.015066288572301217
vehicle_brand,62,67,6,3.452530949776697e-05,0.0,0.02041399489234728,0.004049020860209321,RENAULT,0.09935383314264469,0.09530481228243537,-0.004049020860209321,0.1231813633549763
municipality_type,3,3,0,0.0,0.0,0.020285378580910528,0.020285378580910618,I,0.628864860716662,0.6491502392975727,0.020285378580910618,0.06418950895698353
circulation_area,2,2,0,0.0,0.0,0.001731724792038869,0.001731724792038869,R,0.45981696634625785,0.458085241554219,-0.001731724792038869,0.022735580925951144
