feature,development_observed_min,development_q01,development_q05,development_q50,development_q95,development_q99,development_observed_max,current_q50,current_median_minus_development_median,current_missing_exposure_share,current_below_development_min_exposure_share,current_above_development_max_exposure_share,current_outside_development_observed_range_exposure_share,current_below_development_q01_exposure_share,current_above_development_q99_exposure_share,current_outside_development_q01_q99_exposure_share,current_below_development_q05_exposure_share,current_above_development_q95_exposure_share,current_outside_development_q05_q95_exposure_share,v51_max_absolute_log_relativity_gap
driver_age,18.0,26.0,30.0,47.0,68.0,73.0,88.0,49.0,2.0,0.0,0.0,1.5871206507159884e-05,1.5871206507159884e-05,0.002581962660790813,0.019054470480784284,0.0216364331415751,0.016502293508917864,0.07098142736195567,0.08748372087087354,0.26865990121735667
vehicle_age,0.0,3.0,7.0,23.0,44.0,49.0,66.0,26.0,3.0,9.566206661849756e-07,0.0,7.935603253579942e-06,7.935603253579942e-06,0.0027828312593108817,0.019183549046582923,0.02196638030589381,0.019931865562706125,0.07285655605732967,0.0927884216200358,0.26770589446186105
age_driving_licence,1.0,18.0,18.0,21.0,37.0,47.0,71.0,20.0,-1.0,9.566206661849756e-07,1.8045344384853048e-06,1.1457706615442813e-05,1.326224105392812e-05,0.0002610269935958377,0.009908589894828908,0.010169616888424743,0.0002610269935958377,0.044572152820238395,0.04483317981383423,0.1706896171757457
vehicle_value,1632.8781,10016.2125,12739.125,24693.375,49666.33455,71121.75,253306.935,24934.875,241.5,0.0012742187273583924,1.5218965143851923e-06,1.2479551417958593e-05,1.4001447932343788e-05,0.008360734174184056,0.01014946263029853,0.018510196804482588,0.04660394989107895,0.04914090789780152,0.09574485778888048,0.03393746743310981
seats,2.0,2.0,4.0,5.0,7.0,7.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008739490733856978,0.008739490733856978,0.017479394553910715,0.008739490733856978,0.026218885287767692,0.07231603991198374
power_to_weight_ratio,3.49,6.96,8.68,12.0,16.72,19.1,64.81,12.0,0.0,0.0,2.2741482200670172e-05,0.0,2.2741482200670172e-05,0.00910300658700727,0.009073568760143303,0.018176575347150573,0.04646860980819256,0.04760164002177355,0.09407024982996609,0.06065046982641897
