feature,base_q95_log_gap,v51_registered_base_q95_log_gap,base_q95_minus_v51_registered,q95_log_gap_min,q95_log_gap_min_context,q95_log_gap_max,q95_log_gap_max_context,q95_log_gap_range,fraction_contexts_same_q95_sign_as_base,max_absolute_context_minus_base_log_gap_over_registered_grid,max_context_minus_base_context,max_context_minus_base_quantile,max_xgb_log_relativity_range_across_contexts_over_registered_grid,max_glm_log_relativity_range_across_contexts_over_registered_grid
driver_age,-0.26865990121735667,-0.26865990121735667,0.0,-0.278505377728304,FUEL_TYPE_G,-0.18724502443127294,POLICY_TYPE_COMP_E,0.09126035329703108,1.0,0.0814148921031389,POLICY_TYPE_COMP_E,0.9,0.09126035329703067,4.0245584642661925e-16
vehicle_age,0.26770589446186105,0.26770589446186105,0.0,0.2638795848183454,FUEL_TYPE_G,0.31666173175999923,CIRCULATION_AREA_R,0.05278214694165384,1.0,0.14179274853893947,POLICY_TYPE_COMP_E,0.05,0.14179283663957043,4.2327252813834093e-16
