prediction_field,target,segment,rows,exposure,exposure_share,observed,baseline_calibration_ratio,candidate_calibration_ratio,baseline_abs_log_calibration_error,candidate_abs_log_calibration_error
reference_frequency,frequency,NB,96391,60713.460273972596,0.48179793288623346,17798.0,0.9953216781829944,0.9717883913572049,0.004689299415725056,0.028617202587748778
reference_frequency,frequency,P,71694,65300.90410958904,0.5182020671137666,21478.0,0.9363772268831175,0.9693348555800759,0.06573686352109095,0.03114515859221435
challenger_frequency,frequency,NB,96391,60713.460273972596,0.48179793288623346,17798.0,1.0025239520766767,0.9720547847897242,0.0025207722589817814,0.028343113157638364
challenger_frequency,frequency,P,71694,65300.90410958904,0.5182020671137666,21478.0,0.924917522222671,0.9674958778539992,0.07805071060984149,0.033044114703298176
reference_pure_premium,pure_premium,NB,96391,60713.460273972596,0.48179793288623346,18126693.609500002,0.8610499889822428,0.8900713384911064,0.14960271702695152,0.11645366386025588
reference_pure_premium,pure_premium,P,71694,65300.90410958904,0.5182020671137666,19979657.6705,1.0365546180103011,0.9920103224261745,0.03590234616076241,0.008021766079856024
challenger_pure_premium,pure_premium,NB,96391,60713.460273972596,0.48179793288623346,18126693.609500002,0.9165434439433804,0.8879981938819099,0.08714581081449106,0.1187855699088035
challenger_pure_premium,pure_premium,P,71694,65300.90410958904,0.5182020671137666,19979657.6705,0.949061330305593,0.9930218571424629,0.05228185621635591,0.007002603958197822
