feature,level,development_exposure,development_share,current_exposure,current_share,share_change,absolute_share_change,development_seen
policy_type,CC,24749.66575342466,0.5905080388946023,71738.19726027397,0.5692858715845898,-0.021222167310012585,0.021222167310012585,True
policy_type,COMP_E,9955.161643835616,0.2375225200108693,34222.70136986301,0.2715777803369796,0.03405526032611031,0.03405526032611031,True
policy_type,COMP_N,2057.895890410959,0.04909981729057035,6032.690410958904,0.04787303765304599,-0.001226779637524357,0.001226779637524357,True
policy_type,TP,512.0465753424658,0.012217038486119252,2133.5534246575344,0.016931033498398956,0.004713995012279704,0.004713995012279704,True
policy_type,TPG,4637.726027397261,0.11065258531783864,11887.22191780822,0.09433227692698569,-0.016320308390852953,0.016320308390852953,True
business_type,NB,40561.076712328766,0.9677561751126499,60713.4602739726,0.4817979328862335,-0.48595824222641637,0.48595824222641637,True
business_type,P,1351.4191780821918,0.0322438248873501,65300.904109589035,0.5182020671137665,0.48595824222641637,0.48595824222641637,True
payment_frequency,A,32649.101369863012,0.7789825128818613,104828.35890410958,0.8318762659868978,0.05289375310503652,0.05289375310503652,True
payment_frequency,Q,2559.290410958904,0.06106270592070459,4076.1780821917805,0.03234693205121234,-0.02871577386949225,0.02871577386949225,True
payment_frequency,S,6704.104109589041,0.15995478119743411,17109.827397260273,0.13577680196188985,-0.024177979235544267,0.024177979235544267,True
bonus_score,B,957.641095890411,0.022848581921591244,978.9068493150685,0.007768216378376346,-0.015080365543214898,0.015080365543214898,True
bonus_score,G,40041.60821917808,0.9553620553611338,122776.12876712329,0.9743026469063334,0.01894059154519956,0.01894059154519956,True
bonus_score,N,913.2465753424658,0.02178936271727509,2259.3287671232874,0.01792913671529032,-0.0038602260019847713,0.0038602260019847713,True
fuel_type,<MISSING>,107.04109589041096,0.0025539184344996403,536.8986301369863,0.004260614516157681,0.0017066960816580407,0.0017066960816580407,True
fuel_type,D,26726.361643835615,0.6376704864753775,80656.01643835616,0.6400541464690164,0.002383659993638876,0.002383659993638876,True
fuel_type,G,15079.093150684932,0.35977559509012286,44821.449315068494,0.3556852390148259,-0.0040903560752969526,0.0040903560752969526,True
vehicle_brand,ABARTH,2.33972602739726,5.582406816131796e-05,7.293150684931508,5.7875550304191244e-05,2.0514821428732854e-06,2.0514821428732854e-06,True
vehicle_brand,AIXAM,2.010958904109588,4.797993680375569e-05,2.901369863013699,2.3024120124770294e-05,-2.4955816678985398e-05,2.4955816678985398e-05,True
vehicle_brand,ALFA ROMEO,233.9972602739726,0.005582995125983614,626.7671232876712,0.004973775222798583,-0.0006092199031850305,0.0006092199031850305,True
vehicle_brand,ASIA MOTORS,0.0,0.0,1.052054794520548,8.348689450341636e-06,8.348689450341636e-06,8.348689450341636e-06,False
vehicle_brand,ASTON MARTIN,1.0,2.3859232879251822e-05,1.810958904109589,1.4371051371551619e-05,-9.488181507700203e-06,9.488181507700203e-06,True
vehicle_brand,AUDI,2035.8054794520547,0.04857275703110348,5781.219178082191,0.04587746171924779,-0.0026952953118556944,0.0026952953118556944,True
vehicle_brand,AVIA,0.452054794520548,1.0785680616648084e-05,1.0,7.93560325357994e-06,-2.850077363068144e-06,2.850077363068144e-06,True
vehicle_brand,BENTLEY,0.0,0.0,0.556164383561644,4.413499891717064e-06,4.413499891717064e-06,4.413499891717064e-06,False
vehicle_brand,BMW,1736.8602739726027,0.04144015375543345,4788.723287671232,0.03800140810213786,-0.0034387456532955912,0.0034387456532955912,True
vehicle_brand,CHEVROLET,443.1315068493151,0.010572777818051582,1300.5397260273971,0.010320567281272976,-0.0002522105367786052,0.0002522105367786052,True
vehicle_brand,CHRYSLER,172.55068493150685,0.00411692697525523,416.84109589041094,0.003307885556773773,-0.0008090414184814569,0.0008090414184814569,True
vehicle_brand,CITROEN,3788.33698630137,0.0903868143812474,11496.764383561644,0.09123376084783376,0.0008469464665863541,0.0008469464665863541,True
vehicle_brand,DACIA,183.12876712328767,0.004369311901684795,917.0246575342466,0.007277143855941797,0.002907831954257002,0.002907831954257002,True
vehicle_brand,DAEWOO,285.1616438356165,0.006803738068504238,751.213698630137,0.0059613338709831355,-0.0008424041975211025,0.0008424041975211025,True
vehicle_brand,DAF,0.534246575342466,1.2746713456038651e-05,0.468493150684932,3.7177757708552638e-06,-9.028937685183388e-06,9.028937685183388e-06,True
vehicle_brand,DAIHATSU,6.473972602739726,0.00015446401998266317,20.671232876712327,0.00016403870287194698,9.574682889283817e-06,9.574682889283817e-06,True
vehicle_brand,DODGE,17.873972602739727,0.0004264592748061339,81.71780821917808,0.0006484801047795312,0.00022202082997339727,0.00022202082997339727,True
vehicle_brand,FERRARI,1.0,2.3859232879251822e-05,1.073972602739726,8.522620480557087e-06,-1.5336612398694733e-05,1.5336612398694733e-05,True
vehicle_brand,FIAT,830.2027397260274,0.019808000504116175,2395.4109589041095,0.019009030999140496,-0.0007989695049756794,0.0007989695049756794,True
vehicle_brand,FORD,3342.4739726027397,0.07974886490516674,10008.427397260273,0.07942290901691723,-0.0003259558882495045,0.0003259558882495045,True
vehicle_brand,GALLOPER,30.145205479452056,0.0007192414777271446,110.75616438356164,0.0008789169784362264,0.0001596755007090818,0.0001596755007090818,True
vehicle_brand,GMC,0.208219178082192,4.967949859789425e-06,1.0,7.93560325357994e-06,2.967653393790515e-06,2.967653393790515e-06,True
vehicle_brand,GME,0.0,0.0,0.257534246575342,2.0436896050315426e-06,2.0436896050315426e-06,2.0436896050315426e-06,False
