feature,level,exposure_share,is_reference_level,glm_frequency_relativity,xgb_frequency_relativity,log_xgb_over_glm_relativity
policy_type,CC,0.5905080388946023,True,1.0,1.0,0.0
policy_type,COMP_E,0.2375225200108693,False,1.5674849819246397,1.5811197268602981,0.008660871354739795
policy_type,TPG,0.11065258531783864,False,0.9386881020320362,0.967128375408314,0.02984797868970499
policy_type,COMP_N,0.04909981729057035,False,3.208080262365193,3.149954428729426,-0.018284723468939456
policy_type,TP,0.012217038486119252,False,0.5172324173699095,0.44581987544737905,-0.14857731979556676
business_type,NB,0.9677561751126499,True,1.0,1.0,0.0
business_type,P,0.0322438248873501,False,1.0289028775956846,1.0027835443616506,-0.02571338968862851
payment_frequency,A,0.7789825128818613,True,1.0,1.0,0.0
payment_frequency,S,0.15995478119743411,False,1.289249919180667,1.2859062267505106,-0.002596886650577962
payment_frequency,Q,0.06106270592070459,False,1.6941933097447799,1.678833448152529,-0.009107527965752886
bonus_score,G,0.9553620553611338,True,1.0,1.0,0.0
bonus_score,B,0.022848581921591244,False,1.280714554966141,1.2313253880965689,-0.03932702769678645
bonus_score,N,0.02178936271727509,False,1.3617955612519193,1.2213366072527994,-0.10885825583897207
fuel_type,D,0.6393032147407387,True,1.0,1.0,0.0
fuel_type,G,0.36069678525926124,False,0.8763667926130452,0.889670353599795,0.015066288572301217
vehicle_brand,RENAULT,0.09935383314264469,True,1.0,1.0,0.0
vehicle_brand,CITROEN,0.0903868143812474,False,1.0127586317666073,1.0357891363290312,0.022485660597555437
vehicle_brand,PEUGEOT,0.0818228532361062,False,1.1338688074093188,1.0797199529765427,-0.04893380378585659
vehicle_brand,VOLKSWAGEN,0.08164740616474205,False,1.0925111819982802,1.0781743314594674,-0.013209706267120244
vehicle_brand,OPEL,0.07990025664036769,False,1.0798570151743019,1.0747073228650095,-0.004780272303474566
vehicle_brand,FORD,0.07974886490516674,False,1.138205050384417,1.0854249924560364,-0.047480895929961166
vehicle_brand,SEAT,0.07831090489180297,False,1.1680040800357605,1.1179803925432794,-0.04377254097772043
vehicle_brand,AUDI,0.04857275703110348,False,1.183609734410317,1.09536988623046,-0.07747676404633295
vehicle_brand,MERCEDES,0.04538254880798292,False,1.1364013485323625,1.081029367018476,-0.049952852850049495
vehicle_brand,BMW,0.04144015375543345,False,1.3283456456215432,1.1743947742520435,-0.1231813633549763
municipality_type,I,0.628864860716662,True,1.0,1.0,0.0
municipality_type,C,0.29843363809308904,False,0.9832741376296921,1.0018828810659024,0.018748429816367092
municipality_type,IS,0.07270150119024887,False,0.8878259170979933,0.9466838497122252,0.06418950895698353
circulation_area,U,0.5401830336537422,True,1.0,1.0,0.0
circulation_area,R,0.45981696634625785,False,0.9041116305948068,0.9249025853816645,0.022735580925951144
