target,train_years,test_year,n_train,n_test,model,deviance,calibration_ratio,top10_capture
frequency,2022,2023,67171,118835,Poisson_GLM,1.136192274989586,0.987751957085295,0.24950314015422528
frequency,2022,2023,67171,118835,XGBoost_Poisson,1.1364573360199082,0.9729920874613176,0.24894665712695763
pure_premium,2022,2023,67171,118835,Tweedie_GLM,92.69698471652345,1.093942336712838,0.2080477290937928
pure_premium,2022,2023,67171,118835,XGBoost_Tweedie,93.27072687842211,0.8281194572042241,0.2098997088810694
frequency,"2022,2023",2024,186006,168085,Poisson_GLM,1.1119905788380475,0.9757682028408121,0.26975761279152666
frequency,"2022,2023",2024,186006,168085,XGBoost_Poisson,1.1084267849406437,0.9707362056680966,0.2741623383236582
pure_premium,"2022,2023",2024,186006,168085,Tweedie_GLM,92.82132255492648,0.9475983706794172,0.2200723881402271
pure_premium,"2022,2023",2024,186006,168085,XGBoost_Tweedie,93.16063717468647,0.8416020675912909,0.22769631003884452
