model,train_year,calibration_year,test_year,n_train,n_calibration,n_test,locked_scale_from_2023,calibration_2023_raw_ratio,test_raw_poisson_deviance,test_raw_calibration_ratio_pred_over_actual,test_raw_top10_claim_capture,test_locked_poisson_deviance,test_locked_calibration_ratio_pred_over_actual,test_locked_top10_claim_capture
Poisson_GLM,2022,2023,2024,67171,118835,168085,1.012399917638075,0.987751957085295,1.1188652241222257,0.9512920824796468,0.26621855586108567,1.1185362628672493,0.963088025952147,0.26621855586108567
XGBoost_Poisson,2022,2023,2024,67171,118835,168085,1.0277575870212368,0.9729920874613176,1.1197387954839269,0.9341550901655308,0.2704195946634077,1.1188352761606644,0.9600850351705676,0.2704195946634077
