dimension,group,rows,exposure,claims,incurred,glm_freq_calibration_ratio,xgb_freq_calibration_ratio,glm_loss_calibration_ratio,xgb_loss_calibration_ratio
seen_before_2024,seen,105307,95848.1616438356,30991.0,28960508.8595,0.9465609707386368,0.9397182677116453,0.9936423068976924,0.9501469893851712
seen_before_2024,unseen,62778,30166.202739726028,8285.0,9145842.4205,1.0249093860151404,1.0362692826442501,0.8245942340289352,0.8811744180057263
business_type,NB,96391,60713.460273972596,17798.0,18126693.609500002,0.9953216781829944,1.0025239520766767,0.8610499889822428,0.9165434439433804
business_type,P,71694,65300.90410958904,21478.0,19979657.6705,0.9363772268831175,0.924917522222671,1.0365546180103011,0.949061330305593
driver_age_band,25-34,15972,11700.002739726027,4292.0,3966478.1004999997,0.9620308121754808,0.9574719485137878,0.8273527613270911,0.9591538750050791
driver_age_band,35-49,70488,52941.55890410959,17226.0,15914898.7635,0.9997389562120118,0.9695258464170277,0.9623173690622498,0.9916705936124203
driver_age_band,50-64,57437,43447.59178082192,12956.0,12840523.379,0.9325805618368487,0.9388332860205862,0.984888513284391,0.9117964969860065
driver_age_band,65+,23892,17738.83561643836,4699.0,5278639.592499999,0.9204899773803111,0.9871014249262045,0.9519322272520366,0.7889666010055953
driver_age_band,<25,296,186.37534246575342,103.0,105811.4445,0.6583460083782529,0.9307219276443759,0.47012416038426813,1.1001471396252098
