rep,glm_minus_xgb_frequency_deviance,glm_minus_xgb_tweedie_deviance
0,-3.818815937339792e-05,0.5077545227297691
1,-0.0007360462947592072,-0.8843343149743816
2,0.0001562598916031721,-0.5099145006273176
3,-0.0021932797252783853,0.04436787078013538
4,-0.0001774835581260792,0.40045300141667894
5,-6.309302826079666e-05,0.10045576114193011
6,-0.00021538105113783068,0.27125537386916676
7,-0.0003280743922005058,-0.9606187751136872
8,-0.00016617038821808983,0.3088514651494876
9,-0.000698450665303163,0.01076951545906013
10,-0.00018410629797793732,-0.6558902307770751
11,-0.0007560295400235173,0.41597431398488993
12,-2.9366095253280378e-05,-0.47349307411563757
13,0.0001720379459098087,-0.20518969842756007
14,1.5990907669571897e-05,0.5806950681205763
15,-0.0012616340247013635,-0.019885023602085994
16,-0.0006658642987726893,0.3163676285400072
17,0.0004317747629820623,0.8621933331268394
18,-0.0001443111715355716,0.527824849070953
19,-0.0009407508117516006,0.029751833281608242
20,-0.0011822640380385607,-0.49529413000635714
21,0.0003395050410288647,0.3850680426896389
22,-0.0008119257141669944,0.1775036911572414
23,0.00013942228619123753,0.5875661259821925
24,8.070048267416752e-07,-0.16645466114835017
25,-0.0008044973004346367,-0.6359340708054617
26,0.0011821014045614309,-0.1343053474312086
27,-2.468830487556417e-05,0.1548821255994568
28,-0.0012530470682314832,-0.4796156473250335
29,-0.000889030511226796,-0.36852389478968917
30,0.00021340200146924282,-0.21389602285117348
31,0.00044594622647076143,-0.14059100933066304
32,0.00036343741791733386,0.8714065630309591
33,-0.0006192250887564477,-0.12742537846571622
34,0.00015344625020463631,-0.20622393118804894
35,-4.6564353585187845e-05,-0.11496030481534092
36,-0.00035734165447465216,0.20026226403109604
37,-0.0016799705645966778,-0.5607013077847967
38,0.0009184949669247544,0.11938626313082068
39,-0.00022570509762109836,0.08637625645023661
40,-0.0007346728066173203,-0.32851130371984993
41,0.00019688307063958632,-0.6765188677069602
42,0.000334181545833534,-0.6446408662474852
43,-0.00141302817965272,-0.6787104735154088
44,-0.0006695156103095901,-0.802961281090532
45,0.00017301554072934877,-0.22541115580941096
46,-8.500306572778449e-05,0.0006473226719947434
47,-0.0004573521589326113,-0.23241706503868897
48,-0.00018173210354999192,0.4167874073493749
49,0.0003351746365278796,-0.5238618902365033
50,-0.0004704820959071654,0.376843977015497
51,0.00014405927922034323,0.029976255079645853
52,0.00013699391945487527,1.042073158704241
53,0.0005730129354954983,1.313645655848518
54,-0.0007976860310801026,-0.36526265698830684
55,-0.0013370895230304658,-0.24552000222765002
56,-0.0007936589754464762,0.38347346173279107
57,-0.0004728207464876899,0.3561946664251536
58,-0.00044240858008137707,0.5808743006184898
59,-0.00039495257407806683,0.622914004116069
60,-0.0011304357896912975,0.024846361906128323
61,-0.0005819935372335383,0.5116978822255618
62,-0.0011867313443409966,-0.11088315241161695
63,0.000406848385612113,0.5436821337649747
64,0.0013843355056426532,0.691925786817464
65,-0.0004544624614735149,0.15676132738522597
66,0.0008619609126501171,0.696410392987076
67,0.0002415629189198576,0.03879212887044048
68,-0.00048287434881477687,-0.5534004917608826
69,-0.0005697333531711202,-0.9964869863820951
70,0.0006946334999318182,-0.4093214103117049
71,-0.0005043727130358278,0.0977548338484695
72,-0.0010619879144222466,-1.0752132663772187
73,-0.0006502352634301101,-1.1832977850254878
74,-0.00036314425993788646,0.8087868761933947
75,-0.0004952054795104299,-0.46149445478077666
76,0.00016079734293650283,-0.3249919086632076
77,2.408945999854417e-05,-0.0451646586944463
78,-0.001065091485191516,-0.2334663152069254
79,0.0003677817057499144,0.28993338756023945
80,-0.0007243014386555391,-0.19059602609648607
81,-0.0002654135009736436,-0.046833859421056445
82,-0.0005936824700187859,-0.5120685704476671
83,-0.0007808271056959359,0.3619832096282636
84,-0.0008236934411658403,-0.2502988933853061
85,-0.0007426166528450295,-0.1861971614183915
86,-0.0005683877060052023,-0.10232890500309111
87,-0.000916508592990084,0.11039515152786805
88,-0.00043252192828413527,-0.30663299936048816
89,-0.001231239640213655,0.6796732322889909
90,-0.0006255979944902457,0.7495236771813438
91,-0.0007140365357398704,-0.8128782906116498
92,-0.0007753823153067163,0.1950884972429492
93,0.00019743577811670576,0.42343152022438346
94,-0.00010710931161672654,0.9469316283929317
95,-7.464782474642107e-05,-0.2344280550823754
96,0.0004864604363974401,0.1680255856761903
97,-0.0007548591026242946,-0.45202758631448603
98,0.0002639453042347917,-0.17930439644091223
99,-7.049794914992802e-05,0.6486789298629958
100,0.00045999178071687297,0.6257812089889683
101,0.0005603394309656728,0.09352782023444206
102,0.0005197403149550528,0.5037527340582528
103,-3.5027211457538954e-05,-0.13398189904610547
104,0.0004871119812837055,-0.646427123697336
105,-0.0002839042549716009,0.5364164578493842
106,-0.0011194498628244176,-0.5157060446732231
107,-0.0005898283389451642,-0.7391003080723948
108,-0.0014197451755075807,0.2737936966576058
109,-2.3952733158916217e-05,-0.10835200598707218
110,0.00023683218452408283,-0.4167601286250857
111,-0.0012740212594497535,0.6870101744542438
112,-0.0010121850164011015,0.4569422654335966
113,0.00043164269843987135,-0.7952666942752131
114,-0.0013092160032603939,-0.33026026523818075
115,-0.0003656065175605683,-0.36490597075210474
116,-0.00037328172022399464,-0.17983488776896195
117,8.254423600062566e-05,0.48581991319254314
118,-0.001860921148393535,0.8296912618314138
119,-0.0013248479626108978,0.08884337427708999
120,-0.0007473054318007932,-0.0875006330089434
121,0.00032963217411907664,0.26702970477178667
122,-0.0009079580225095363,-0.028227610150082683
123,5.299497455957258e-05,-0.015552911764018518
124,0.00022654844450009648,0.8330824978744289
125,-0.0019360184307586348,-0.13558665416995552
126,-0.0010495747600787197,-0.288946220632468
127,0.00022170138420429808,-0.3068592587324872
128,-0.0012037647714771005,0.05063148665993822
129,-0.00038842236206293457,-0.767750161314595
130,-0.0009560742914893616,0.446798052997579
131,-0.0017746591513585486,-0.3268862446048928
132,-0.00018886201023526894,-1.11801062626067
133,9.471540290939551e-05,-0.0687642309860621
134,0.0005059160534206519,-0.0063369453548602905
135,-0.0008516305150878534,-0.0870455690010914
136,0.0002333311593234466,0.22132702124700643
137,-0.0002557391270274767,-0.5299947689048423
138,-7.305216937547598e-05,0.11008758707087907
139,-0.001151020409773773,-0.5218587297256505
140,-0.0005184203652366381,-0.03846599079965074
141,0.0002211346459499719,0.6577458080235061
142,0.0006084688788599024,-0.47613743088794536
143,-0.0010116473783623459,0.5499622874078085
144,-0.0009749967023344741,-0.011026015194090633
145,0.0005663983942951756,0.11860502434770126
146,-0.0007001454338761981,-0.1179264758601164
147,-0.0011963954995835024,0.34241250526731903
148,-0.0005483923043738681,0.23002342921627417
149,-3.734445914149731e-05,-0.0023045650650317384
150,2.1133596259881315e-05,-0.36970048251322396
151,-0.00018039190700092078,-0.018794278725309255
152,-0.0006717905805098123,-0.37322201804641963
153,-5.4583622357773365e-05,-0.07106028824443911
154,-0.0005528436932071834,-0.18939341396827558
155,-0.0005438655685341409,0.17675093772351147
156,-0.0006491299638093917,-0.8768454297232751
157,0.0002739681074965805,0.22216397979178737
158,-0.0005722134560297576,-0.3459039382921816
159,-0.0004313458520472935,0.40244301435963337
160,-0.0015859821457751,-0.42318954308879597
161,-0.00045245401987692446,-0.2545054330203982
162,-0.0010167242353824602,0.46526064168577363
163,0.0007188322674755998,-0.24645152932842507
164,-0.0011468790982347432,0.6198843850532683
165,-0.001001324751995103,-0.6785131282458963
166,-0.00010491663958478448,0.16389097760904292
167,-0.00012962673144256698,0.09285765430118431
168,-0.0007946692572171621,-0.09381247798536663
169,-0.00010963614269687838,0.16832692542746486
170,-0.00111124848457278,0.34033495924288104
171,0.00014172627911612778,-0.6858196830521308
172,-0.0002659058483178711,-0.6302562792884174
173,-0.0008862231521780117,-0.07405765040493861
174,-0.0007227500337694259,0.7161448464615177
175,-0.0014375250209721635,-0.19307456566252768
176,-0.0009609609969687405,-0.5130387485138357
177,-0.0005488049558854957,-0.34934693223586066
178,-0.000291755225297452,0.12453756533507487
179,-0.0009485492099701176,-0.380194981763168
180,-0.0007324920882276764,0.3759350922109803
181,0.00018724105087031262,-0.6124685183200427
182,-0.0009904522522308223,0.5768385754156355
183,0.0001864806835820687,1.099329495914347
184,-0.00031620988071989764,-0.04452694828647452
185,0.0005191281015270999,-0.16745946563609948
186,0.0007192167436862462,0.022177836544400975
187,-6.102625842885345e-06,0.13591719166971927
188,-0.0009694296394440194,0.1476880629242885
189,-0.0012301764112496727,-0.5728249706785675
190,0.0007851811181809332,-0.19878935214974547
191,-5.793807832299436e-05,-0.3115727019030743
192,-0.0003375298255265946,-0.04972285633621709
193,-0.0009551275450834229,0.4385588642437739
194,0.0008067394506021675,0.37780425658195327
195,-0.0010468102576928207,0.0857668621067944
196,0.000194171071607796,0.2816234570460523
197,-9.764626378117036e-05,0.31767643290335457
198,-0.00047253518909196046,0.285482098292988
199,-0.0006118419327130198,-0.19078017685947657
200,-0.000740866833806253,-0.4843377526489121
201,-0.0005742009643823209,-0.46889016458386834
202,-0.0006955543707609646,0.27798218988903045
203,-0.0011102512761695937,0.040185280307412086
204,-0.000580107244384287,-0.08379017642658937
205,-0.00177888556328476,0.02536978352515007
206,-0.0002430222171234675,0.41184275237641543
207,-0.0005398550018773651,-0.14414098499368322
208,-0.0002912894481554851,-0.3846618419643306
209,-0.0007958941370056483,-0.44164260357655394
210,-6.4749853185830375e-06,0.12000346147264906
211,0.0006969048477181161,0.30871851149224483
212,0.0008369599650099868,0.2796195229073959
213,-0.0009199158768697924,-0.5254847423702387
214,-0.0001048515538868422,-0.10879408040042904
215,0.0008792979961682601,-0.13385395719748772
216,-0.0007387045533950864,0.6209974914327319
217,0.0003780559222259505,0.019769145135526855
218,0.0005379622800034678,0.5736487666637089
219,-0.0013988187170972388,-0.46679558774890495
220,-7.403136390804477e-05,0.0675425251317705
221,-7.220173114030892e-05,0.299762522360453
222,-0.000850068662283654,-0.36391884979090605
223,0.000609989765658403,-0.08080333141836604
224,0.00019115370865874226,-0.42309953700871006
225,0.0007815424864507925,0.35935450485176545
226,-0.00025950329121804394,0.19771135617479274
227,-0.00042960853415641154,0.6088372954730801
228,0.0003923902813547375,0.048367369325973186
229,0.00035877078856549893,0.4380021923378621
230,0.00011591005873068383,-0.7251332136254689
231,0.0007265123757600467,0.43502987163465434
232,-0.000815165243706506,-0.16543228202991145
233,-0.00018168281764241456,0.07545108268841716
234,9.186776273706343e-06,-0.024330505174603445
235,-0.0003900979977471408,0.5774849258302197
236,0.0010092439738182968,0.3218175391286735
237,-0.000885641242188262,0.2793479310935396
238,-0.0006508119146400038,0.47855081084914275
239,0.00014561387001355008,-0.17621548896039485
240,-0.0011129052432883313,-1.3558587062946543
241,0.00011335242755583508,0.9854962425242917
242,7.515959943527051e-06,0.340406609602951
243,9.161163814441764e-06,-0.3326180891849617
244,-0.0008616372040799458,-0.15700448931715982
245,-0.0003154790121104867,-1.0757749996757298
246,-0.0009075659040487238,0.287209642017217
247,-0.0007467906125178114,-1.2877073432155441
248,-0.001174621466596415,-0.23368678114896113
249,-0.0007117578696929083,-0.5313841147785467
