model,train_years,test_year,n_train,n_test,poisson_deviance,claim_calibration_ratio,top10_claim_capture
Poisson_GLM,"2015,2016,2017",2018,69740,35815,4.25529285146236,13.806999447214894,0.6875484871993793
XGBoost_Poisson,"2015,2016,2017",2018,69740,35815,0.6044229471018173,3.129994308457631,0.7430178432893716
