coverage,covered_policy_rows_proxy,covered_exposure_proxy,claims,incurred,claim_frequency_per_covered_exposure_proxy,incurred_per_covered_exposure_proxy,share_of_total_claim_count,share_of_total_incurred
liability,168069,126004.6191780822,18811.0,24406971.174000002,0.14928817786762588,193.6990193947228,0.4789438843059375,0.640496147076929
property,53254,41338.60547945205,12166.0,9846308.0845,0.294301170997345,238.18674989881427,0.30975659435787756,0.2583902093420265
glass,165056,123866.84383561643,5740.0,2283764.001,0.04634008441853535,18.437250278458546,0.14614522863835422,0.05993132179513147
theft,148530,111986.95890410958,845.0,709897.1965,0.007545521445256347,6.339105940968175,0.021514410836134024,0.018629366828741414
legal_protection,168072,126006.12876712327,1650.0,578782.971,0.013094601160626305,4.593292220489298,0.04201038802322029,0.015188622147189737
occupants,168073,126005.90684931507,18.0,148980.3725,0.00014285044606301997,1.1823284814588817,0.00045829514207149406,0.003909594266984881
fire,148528,111984.95890410958,46.0,131647.4805,0.0004107694502025835,1.1755818083813117,0.0011711986964049292,0.0034547385429970247
