version,segment,model,rows,point,ci95_low,ci95_high
v0.18,returning_policy,Tweedie_GLM,105307,0.9936423068976924,0.953818436859592,1.0367844331635185
v0.18,returning_policy,XGBoost_Tweedie,105307,0.9501469893851712,0.909693494057606,0.9956800875492968
v0.18,new_policy,Tweedie_GLM,62778,0.8245942340289352,0.7032758320049978,0.9484488456154024
v0.18,new_policy,XGBoost_Tweedie,62778,0.8811744180057263,0.747541612907956,1.0054360198152326
v0.18,business_type_NB,Tweedie_GLM,96391,0.8610499889822428,0.7887309132454098,0.9384510317125566
v0.18,business_type_NB,XGBoost_Tweedie,96391,0.9165434439433804,0.8400003206044394,0.9966175798546684
v0.18,business_type_P,Tweedie_GLM,71694,1.0365546180103011,0.9831374706088254,1.0862161766967773
v0.18,business_type_P,XGBoost_Tweedie,71694,0.949061330305593,0.9053318916212467,0.9913258026099299
