fold_id,feature,point_type,point_key,value_or_level,glm_frequency_relativity,xgb_frequency_relativity,log_xgb_over_glm_relativity,v51_full_fit_log_gap
0,driver_age,numeric,q0.05,30.0,0.9190968571016139,1.007308373261214,0.09164556467435261,0.14112579605403
0,driver_age,numeric,q0.10,32.0,0.9282644501408436,1.007308373261214,0.08172041547870351,0.127892353575496
0,driver_age,numeric,q0.20,36.0,0.9468748766300848,1.0034411386109647,0.05802355201728027,0.0823855400533132
0,driver_age,numeric,q0.30,39.0,0.9610771456696313,1.0021826925368995,0.041880910706699456,0.0593048403771465
0,driver_age,numeric,q0.40,43.0,0.9803454216089507,1.0,0.019850298391298645,0.0301637422792538
0,driver_age,numeric,q0.50,47.0,1.0,1.0,0.0,0.0
0,driver_age,numeric,q0.60,51.0,1.0200486256760315,1.0,-0.01985029839129841,-0.0301637422792536
0,driver_age,numeric,q0.70,55.0,1.0404991987435608,0.9790682013708752,-0.06085457133904033,-0.0623002241025713
0,driver_age,numeric,q0.80,59.0,1.0613597776953816,0.8926652429153745,-0.1730945315159981,-0.1964409283337278
0,driver_age,numeric,q0.90,64.0,1.0880246105437845,0.8912771124936885,-0.1994636551290704,-0.2394907189979483
0,driver_age,numeric,q0.95,68.0,1.1098380086868869,0.8798169439406055,-0.23225547795231113,-0.2686599012173566
0,vehicle_age,numeric,q0.05,7.0,1.2574142583878665,1.3905714671139455,0.10065735359047309,0.0220999230384877
0,vehicle_age,numeric,q0.10,10.0,1.2045537508906958,1.0826931057498315,-0.10665761347345437,-0.1671366004126769
0,vehicle_age,numeric,q0.20,14.0,1.1375135774840113,1.0341133491311216,-0.09530041595954881,-0.1198847172380538
0,vehicle_age,numeric,q0.30,17.0,1.0896935813374595,1.0178602096186644,-0.0681939486273917,-0.0911116429222344
0,vehicle_age,numeric,q0.40,20.0,1.0438838926516012,1.000813930116999,-0.04213467028496112,-0.0481604424532383
0,vehicle_age,numeric,q0.50,23.0,1.0,1.0,0.0,0.0
0,vehicle_age,numeric,q0.60,27.0,0.9443443903129171,1.0079507678938666,0.0651836862018934,0.0741113735329791
0,vehicle_age,numeric,q0.70,32.0,0.8791103858398173,0.9879304165935288,0.1167017957578762,0.1529381308574721
0,vehicle_age,numeric,q0.80,36.0,0.8301829613336553,0.9212795016653773,0.10411735466807774,0.1750094821423045
0,vehicle_age,numeric,q0.90,41.0,0.7728350704914322,0.9049918925273644,0.15786032218718682,0.2144984674374911
0,vehicle_age,numeric,q0.95,44.0,0.7403458142536622,0.9113064028717736,0.2077617839641198,0.267705894461861
0,age_driving_licence,numeric,q0.05,18.0,1.015414226079666,1.0,-0.015296633753740055,-0.0182259157184764
